stop_id,stop_code,stop_name,stop_lat,stop_lon,parent_station,location_type
238,238,Myojindaira,35.256770122313725,139.0466991136862,,0
239,239,Itari,35.25809016341293,139.0410006963744,,0
240,240,Momijigaoka,35.2590423087797,139.03471061795122,,0
241,241,Shuzan-shita,35.25938811582704,139.03243443197061,,0
242,242,Kozuka-iriguchi,35.2650055599472,139.02219436751145,,0
hyoseki,243,"Hyoseki, Hakone Garassu-no-mori-mae (Hakone Venetian Glass Museum)",35.26634138643249,139.01854030565696,,0
shinanoki,244,Shinanoki,35.2673216,139.0168011,,0
sengokuhara-shogakko,245,Sengokuhara-shogakko-mae,35.27065638986368,139.01283404746462,,0
sengoku,246,Sengoku,35.27305794717773,139.0114032251884,,0
sengoku-annaijo,247,Sengoku-annaijo-mae,35.27105422004356,139.01021115511924,,0
sengokukara-bunka,248,Sengokuhara Bunka Center-mae,35.26999630582975,139.01119061656578,,0
249,249,"Kawamukai / Little Prince Museum",35.266826947021244,139.01297046010714,,0
250,250,Senkyoro-mae,35.26422381890464,139.01391763799634,,0
251,251,Daigatake,35.26393062901887,139.01041405251118,,0
sengoku-kogen,252,Sengoku-kogen,35.2587248,139.0008205,,0
253,253,Tokyo Hoso-iriguchi,35.25457923591707,138.99937830561922,,0
254,254,Minami-Sengokuhara,35.2525840547341,138.998601326045,,0
255,255,Hakone Country-iriguchi,35.25152878281744,138.99871543208093,,0
256,256,Ubako-onsen-iriguchi,35.24868760418198,138.99845128368574,,0
257,257,Onsenso,35.2476215132455,138.99708881404658,,0
258,258,Palace Hotel Hakone-mae,35.24649761181286,138.99749042360597,,0
259,259,Minami-Onsenso,35.243848359974415,138.99931691660947,,0
260,260,Koen-kanri-jimusho-mae,35.24155910573212,138.99806930794622,,0
261,261,Shirayuridai,35.24130844188189,138.9956422775112,,0
262,262,Hakone Lake Hotel-mae,35.239553773258194,138.99367561557835,,0
shimojuku,322,Shimojuku,35.2322663,139.1085112,,0
yumoto-yubinkyoku,323,Yumoto-Yubinkyoku-mae,35.2305443,139.1064298,,0
324,324,Soun-koen-mae,35.22952565785237,139.1046346521159,,0
325,325,Yumoto-Nakajuku,35.22896437484066,139.10180593401253,,0
326,326,Sogado-ue,35.22840246536964,139.09925922111378,,0
327,327,Daino-chaya,35.228196479274615,139.09623940133892,,0
328,328,Oku-Yumoto-iriguchi,35.22487203518627,139.09028428058897,,0
329,329,Okuno-chaya,35.22381630428145,139.08805476288128,,0
330,330,Kuzuhara,35.22284867591931,139.08598692924545,,0
hotel-hatsuhana,331,Hotel Hatsuhana-mae,35.22186214563124,139.08001367876503,,0
sukumogawa,332,Sukumogawa,35.2209825,139.0753859,,0
kami-sukumogawa,333,Kami-Sukumogawa,35.2200397805384,139.0725830981628,,0
334,334,Hatsudensho-mae,35.21803173219951,139.06998871309335,,0
335,335,Honjin-ato,35.213334690624016,139.06392815724203,,0
hatajuku,336,Hatajuku,35.2120595,139.0627259,,0
kami-hatajuku,337,Kami-Hatajuku,35.2115598,139.0609074,,0
338,338,Kashinoki-zaka,35.2091307058294,139.05885392373472,,0
339,339,Miharashi-jaya,35.20858622648695,139.05695473429247,,0
340,340,Sarusuberi-zaka,35.203851525725575,139.05355823599186,,0
341,341,Amazake-chaya,35.20209040423297,139.04879571269421,,0
342,342,Kyukaido-ishidatami (Old Tokaido Highway),35.20375618097915,139.04421910347983,,0
343,343,Otamagaike,35.20551878954948,139.03907443933295,,0
344,344,Kyukaido-guchi,35.20572528057817,139.0355037865437,,0
ninotaira,427,Ninotaira,35.2429177,139.0497923,,0
chokoku,428,"Chokoku-no-mori, Hakone Open Air Museum",35.2452528,139.0506721,,0
430,430,Hakone Yutowa-mae,35.2487313,139.0483975,,0
hakone-art,433,"Hakone-bijutsukan, Gora-koen (Hakone Museum of Art, Hakone Gora Park)",35.2486612,139.0434086,,0
434,434,Himeshara-rindo-iriguchi,35.252765688303064,139.0392352486859,,0
435,435,Komorebi-zaka,35.252132775775735,139.03510796327353,,0
436,436,Shimoyu-onsen,35.25321334940503,139.02784680705457,,0
437,437,Bangakuro-mae,35.25259212591889,139.0271625580686,,0
438,438,Yubanaka,35.25292338619562,139.0246481821098,,0
pola-art,439,Pola Art Museum,35.2562880,139.0204167,,0
440,440,Motoyu-onsen,35.26242412547646,139.01634575324593,,0
443,443,Hakone Garassu-no-mori-mae (Hakone Venetian Glass Museum),35.2666413003987,139.01751997618356,,0
448,448,"Hakone Lalique-bijutsukan (Lalique Museum Hakone)",35.27046103963194,139.00945935769965,,0
449,449,Ohara,35.269144887142595,139.00790155423917,,0
hakone-garden,450,Shissei-kaen-mae (Hakone Botanical Garden of Wetlands),35.2673076,139.0064424,,0
547,547,Kintoki-tozanguchi,35.27444931129529,139.00953835885247,,0
548,548,Tarodaira,35.27546221684685,139.00672997713644,,0
549,549,Kintoki-jinja-iriguchi,35.276930508545576,139.00322675601348,,0
550,550,Otome-guchi,35.27711889826678,138.99544627205833,,0
551,551,Golf-jo,35.274332753589505,138.99228599391813,,0
552,552,Otome-toge,35.28291585148677,138.98266472290015,,0
553,553,Nagao-guchi,35.28864516202319,138.97138984752786,,0
554,554,Onsen-kaikan-mae,35.2883642,138.9686018,,0
555,555,Fukasawa,35.2887171347194,138.96510089185134,,0
556,556,Higashiyama,35.28545016240929,138.95690453609905,,0
557,557,Heiwa-koen-mae,35.286741810358954,138.9531771962772,,0
nino-oka-iriguchi,558,Nino-oka-iriguchi,35.2873921,138.9503789,,0
559,559,Nino-oka,35.289120935012086,138.94960828940916,,0
560,560,Chichibunomiya-kinen-koen,35.289298011394465,138.95012101906397
561,561,Higashiyama-kyu-kishitei-mae,35.29574240157765,138.95848112320348,,0
562,562,"Hotel Clad, Konohana no Yu",35.30389850564447,138.9670334294665,,0
gotemba-outlets,563,Gotemba Premium Outlets&reg;,35.3074401,138.9621592,,0
564,,Gotemba Inter-mae,35.29412258184315,138.94549611907127,,0
tomei-gotemba,565,Tomei-Gotemba,35.2949408,138.9455187,,0
568,568,Gotemba Station (Hakone Otome exit),35.30032303166077,138.93532325429868,,2
759,759,Ashikawa-iriguchi,35.188097827200835,139.02412338176836,,0
760,760,Odo-mae,35.18681732509405,139.01979813667242,,0
761,761,Hakone Yasuragi-no-mori,35.18750238637719,139.01660674237564,,0
762,762,Hakone-toge,35.18237235728119,139.0140508625486,,0
769,769,Mishima Skywalk,35.15243999891918,138.98522298288728,,0
798,798,Mishima Sta.,35.12563102819244,138.91206502406536,,0
839,839,Ten-yu,35.23878555999217,139.04424403243152,,0
861,861,Kojiri,35.23417374148278,138.99787580761608,,0
yama-no-hotel,868,Odakyu Yama-no Hotel,35.2042633,139.0218437,,0
